num_location,num_type_of_university,length_of_college_in_years,num_specified_type,on_campus,residence_halls,noncampus_property,public_property
4,1,4,0,0,0,0,0
4,1,4,1,0,0,0,0
4,1,4,2,4,0,0,0
4,1,4,3,0,0,0,0
4,1,4,4,0,0,0,0
4,1,4,5,0,0,0,0
4,1,4,6,0,0,0,1
4,1,4,7,0,0,0,0
4,1,4,8,2,1,0,0
4,1,4,9,0,0,0,0
4,1,4,10,0,0,0,0
4,1,4,11,2,1,0,0
4,1,4,12,1,1,0,1
4,1,4,13,8,0,0,0
4,1,4,14,0,0,0,0
4,1,4,15,0,0,0,0
4,1,4,16,0,0,0,0
4,1,4,17,0,0,0,0
4,1,4,18,12,8,0,0
4,1,4,19,30,20,0,0
4,1,4,20,0,0,0,0
4,0,4,0,0,0,0,0
4,0,4,1,0,0,0,0
4,0,4,2,4,0,0,0
4,0,4,3,4,0,0,0
4,0,4,4,0,0,0,0
4,0,4,5,0,0,0,0
4,0,4,6,1,0,0,0
4,0,4,7,7,6,0,0
4,0,4,8,2,1,0,0
4,0,4,9,0,0,0,0
4,0,4,10,0,0,0,0
4,0,4,11,2,1,0,0
4,0,4,12,14,12,0,2
4,0,4,13,2,1,0,0
4,0,4,14,0,0,0,2
4,0,4,15,0,0,0,0
4,0,4,16,0,0,0,0
4,0,4,17,0,0,0,0
4,0,4,18,188,187,0,0
4,0,4,19,127,122,0,3
4,0,4,20,2,1,0,0
3,0,4,0,0,0,0,0
3,0,4,1,0,0,0,0
3,0,4,2,0,0,0,0
3,0,4,3,0,0,0,0
3,0,4,4,0,0,0,0
3,0,4,5,0,0,0,0
3,0,4,6,0,0,0,1
3,0,4,7,0,0,0,0
3,0,4,8,0,0,0,0
3,0,4,9,0,0,0,0
3,0,4,10,0,0,0,0
3,0,4,11,0,0,0,0
3,0,4,12,1,0,0,0
3,0,4,13,0,0,0,0
3,0,4,14,0,0,0,0
3,0,4,15,0,0,0,0
3,0,4,16,0,0,0,0
3,0,4,17,0,0,0,0
3,0,4,18,0,0,0,0
3,0,4,19,0,0,0,0
3,0,4,20,0,0,0,0
4,1,2,0,0,0,0,2
4,1,2,1,0,0,0,0
4,1,2,2,0,0,0,0
4,1,2,3,0,0,0,0
4,1,2,4,0,0,0,0
4,1,2,5,0,0,0,0
4,1,2,6,0,0,0,1
4,1,2,7,0,0,0,0
4,1,2,8,3,0,0,3
4,1,2,9,0,0,0,0
4,1,2,10,0,0,0,0
4,1,2,11,2,0,0,2
4,1,2,12,2,0,0,2
4,1,2,13,3,0,0,3
4,1,2,14,0,0,0,0
4,1,2,15,0,0,0,0
4,1,2,16,0,0,0,0
4,1,2,17,0,0,0,0
4,1,2,18,18,0,0,22
4,1,2,19,1,0,0,1
